,survived,pclass,sex,age,sibsp,parch,fare,adult_male,alive,alone,embarked_Q,embarked_S,class_Second,class_Third,who_man,who_woman,embark_town_Queenstown,embark_town_Southampton
0,0,3,1,-0.5280415533946451,1,0,-0.5280415533946451,1,0,0,0,1,0,1,1,0,0,1
1,1,1,0,0.5617081914694719,1,0,0.5617081914694719,0,1,0,0,0,0,0,0,1,0,0
2,1,3,0,-0.25560411717861586,0,0,-0.25560411717861586,0,1,1,0,1,0,1,0,1,0,1
3,1,1,0,0.35738011430745,1,0,0.35738011430745,0,1,0,0,1,0,0,0,1,0,1
4,0,3,1,0.35738011430745,0,0,0.35738011430745,1,0,1,0,1,0,1,1,0,0,1
5,0,3,1,,0,0,,1,0,1,1,0,0,1,1,0,1,0
6,0,1,1,1.651457936333589,0,0,1.651457936333589,1,0,1,0,1,0,0,1,0,0,1
7,0,3,1,-1.8902287344747914,3,1,-1.8902287344747914,0,0,0,0,1,0,1,0,0,0,1
8,1,3,0,-0.18749475812460856,0,2,-0.18749475812460856,0,1,0,0,1,0,1,0,1,0,1
9,1,2,0,-1.0729164258267037,1,0,-1.0729164258267037,0,1,0,0,0,1,0,0,0,0,0
10,1,3,0,-1.754010016366777,1,1,-1.754010016366777,0,1,0,0,1,0,1,0,0,0,1
11,1,1,0,1.9238953725496182,0,0,1.9238953725496182,0,1,1,0,1,0,0,0,1,0,1
12,0,3,1,-0.6642602715026598,0,0,-0.6642602715026598,1,0,1,0,1,0,1,1,0,0,1
13,0,3,1,0.6298175505234792,1,5,0.6298175505234792,1,0,0,0,1,0,1,1,0,0,1
14,0,3,0,-1.0729164258267037,0,0,-1.0729164258267037,0,0,1,0,1,0,1,0,0,0,1
15,1,2,0,1.7195672953875962,0,0,1.7195672953875962,0,1,1,0,1,1,0,0,1,0,1
16,0,3,1,-1.8902287344747914,4,1,-1.8902287344747914,0,0,0,1,0,0,1,0,0,1,0
17,1,2,1,,0,0,,1,1,1,0,1,1,0,1,0,0,1
18,0,3,0,0.08494267809142071,1,0,0.08494267809142071,0,0,0,0,1,0,1,0,1,0,1
19,1,3,0,,0,0,,0,1,1,0,0,0,1,0,1,0,0
20,0,2,1,0.35738011430745,0,0,0.35738011430745,1,0,1,0,1,1,0,1,0,0,1
21,1,2,1,0.28927075525344265,0,0,0.28927075525344265,1,1,1,0,1,1,0,1,0,0,1
22,1,3,0,-1.0048070667726963,0,0,-1.0048070667726963,0,1,1,1,0,0,1,0,0,1,0
23,1,1,1,-0.11938539907060124,0,0,-0.11938539907060124,1,1,1,0,1,0,0,1,0,0,1
24,0,3,0,-1.4815725801507476,3,1,-1.4815725801507476,0,0,0,0,1,0,1,0,0,0,1
25,1,3,0,0.5617081914694719,1,5,0.5617081914694719,0,1,0,0,1,0,1,0,1,0,1
26,0,3,1,,0,0,,1,0,1,0,0,0,1,1,0,0,0
27,0,1,1,-0.732369630556667,3,2,-0.732369630556667,1,0,0,0,1,0,0,1,0,0,1
28,1,3,0,,0,0,,0,1,1,1,0,0,1,0,1,1,0
29,0,3,1,,0,0,,1,0,1,0,1,0,1,1,0,0,1
30,0,1,1,0.6979269095774866,0,0,0.6979269095774866,1,0,1,0,0,0,0,1,0,0,0
31,1,1,0,,1,0,,0,1,0,0,0,0,0,0,1,0,0
32,1,3,0,,0,0,,0,1,1,1,0,0,1,0,1,1,0
33,0,2,1,2.4687702449816764,0,0,2.4687702449816764,1,0,1,0,1,1,0,1,0,0,1
34,0,1,1,-0.11938539907060124,1,0,-0.11938539907060124,1,0,0,0,0,0,0,1,0,0,0
35,0,1,1,0.8341456276855012,1,0,0.8341456276855012,1,0,0,0,1,0,0,1,0,0,1
36,1,3,1,,0,0,,1,1,1,0,0,0,1,1,0,0,0
37,0,3,1,-0.5961509124486525,0,0,-0.5961509124486525,1,0,1,0,1,0,1,1,0,0,1
38,0,3,0,-0.8004789896106744,2,0,-0.8004789896106744,0,0,0,0,1,0,1,0,1,0,1
39,1,3,0,-1.0729164258267037,1,0,-1.0729164258267037,0,1,0,0,0,0,1,0,0,0,0
40,0,3,0,0.6979269095774866,1,0,0.6979269095774866,0,0,0,0,1,0,1,0,1,0,1
41,0,2,0,-0.18749475812460856,1,0,-0.18749475812460856,0,0,0,0,1,1,0,0,1,0,1
42,0,3,1,,0,0,,1,0,1,0,0,0,1,1,0,0,0
43,1,2,0,-1.822119375420784,1,2,-1.822119375420784,0,1,0,0,0,1,0,0,0,0,0
44,1,3,0,-0.732369630556667,0,0,-0.732369630556667,0,1,1,1,0,0,1,0,1,1,0
45,0,3,1,,0,0,,1,0,1,0,1,0,1,1,0,0,1
46,0,3,1,,1,0,,1,0,0,1,0,0,1,1,0,1,0
48,0,3,1,,2,0,,1,0,0,0,0,0,1,1,0,0,0
49,0,3,0,-0.8004789896106744,1,0,-0.8004789896106744,0,0,0,0,1,0,1,0,1,0,1
50,0,3,1,-1.549681939204755,4,1,-1.549681939204755,0,0,0,0,1,0,1,0,0,0,1
51,0,3,1,-0.5961509124486525,0,0,-0.5961509124486525,1,0,1,0,1,0,1,1,0,0,1
52,1,1,0,1.3109111410635523,1,0,1.3109111410635523,0,1,0,0,0,0,0,0,1,0,0
